C060402	ER_H2O_STRESS	KOR			57.58
C060402	ER_H2O_STRESS	KNA			51.25
C060402	ER_H2O_STRESS	KHM			0.61
C060402	ER_H2O_STRESS	KGZ			43.95
C060402	ER_H2O_STRESS	KEN			14.31
C060402	ER_H2O_STRESS	KAZ			28.14
C060402	ER_H2O_STRESS	JPN			28.45
C060402	ER_H2O_STRESS	JOR			118.4
C060402	ER_H2O_STRESS	JAM			11.34
C060402	ER_H2O_STRESS	ITA			44.83
C060402	ER_H2O_STRESS	ISR			110.45
C060402	ER_H2O_STRESS	ISL			2.64
C060402	ER_H2O_STRESS	IRQ			93.06
C060402	ER_H2O_STRESS	IRN			90
C060402	ER_H2O_STRESS	IRL			2.38
C060402	ER_H2O_STRESS	IND			44.53
C060402	ER_H2O_STRESS	IDN			9.24
C060402	ER_H2O_STRESS	HUN			8.2
C060402	ER_H2O_STRESS	HTI			15.64
C060402	ER_H2O_STRESS	HRV			0.98
C060402	ER_H2O_STRESS	HND			2.49
C060402	ER_H2O_STRESS	GUY			0.86
C060402	ER_H2O_STRESS	GUF			0
C060402	ER_H2O_STRESS	GTM			3.76
C060402	ER_H2O_STRESS	GRD			7.05
C060402	ER_H2O_STRESS	GRC			19.72
C060402	ER_H2O_STRESS	GNQ			0.1
C060402	ER_H2O_STRESS	GNB			0.71
C060402	ER_H2O_STRESS	GMB			1.45
C060402	ER_H2O_STRESS	GIN			0.33
C060402	ER_H2O_STRESS	GHA			2.79
C060402	ER_H2O_STRESS	GEO			4.57
C060402	ER_H2O_STRESS	GBR			9.67
C060402	ER_H2O_STRESS	GAB			0.12
C060402	ER_H2O_STRESS	FRA			22.77
C060402	ER_H2O_STRESS	FJI			0.45
C060402	ER_H2O_STRESS	FIN			10.45
C060402	ER_H2O_STRESS	ETH			11.6
C060402	ER_H2O_STRESS	EST			22.48
C060402	ER_H2O_STRESS	ESP			49.65
C060402	ER_H2O_STRESS	ERI			10.11
C060402	ER_H2O_STRESS	EGY			159.85
C060402	ER_H2O_STRESS	ECU			3.74
C060402	ER_H2O_STRESS	DZA			87.99
C060402	ER_H2O_STRESS	DOM			43.73
C060402	ER_H2O_STRESS	DNK			20.72
C060402	ER_H2O_STRESS	DMA			10
C060402	ER_H2O_STRESS	DJI			7.9
C060402	ER_H2O_STRESS	DEU			41.46
C060402	ER_H2O_STRESS	CZE			23.99
C060402	ER_H2O_STRESS	CYP			37.64
C060402	ER_H2O_STRESS	CUB			25.62
C060402	ER_H2O_STRESS	CRI			3.06
C060402	ER_H2O_STRESS	CPV			8.97
C060402	ER_H2O_STRESS	COM			1.17
C060402	ER_H2O_STRESS	COL			0.86
C060402	ER_H2O_STRESS	COG			0.01
C060402	ER_H2O_STRESS	COD			0.09
C060402	ER_H2O_STRESS	CMR			0.48
C060402	ER_H2O_STRESS	CIV			2.71
C060402	ER_H2O_STRESS	CHN			29.86
C060402	ER_H2O_STRESS	CHL			5.5
C060402	ER_H2O_STRESS	CHE			7.37
C060402	ER_H2O_STRESS	CAN			2.21
C060402	ER_H2O_STRESS	CAF			0.07
C060402	ER_H2O_STRESS	BWA			2.09
C060402	ER_H2O_STRESS	BTN			0.56
C060402	ER_H2O_STRESS	BRN			1.88
C060402	ER_H2O_STRESS	BRB			87.5
C060402	ER_H2O_STRESS	BRA			1.32
C060402	ER_H2O_STRESS	BOL			0.53
C060402	ER_H2O_STRESS	BMU			4.24
C060402	ER_H2O_STRESS	BLZ			0.69
C060402	ER_H2O_STRESS	BLR			4.54
C060402	ER_H2O_STRESS	BIH			1.43
C060402	ER_H2O_STRESS	BHS			0
C060402	ER_H2O_STRESS	BHR			205.78
C060402	ER_H2O_STRESS	BGR			40.65
C060402	ER_H2O_STRESS	BGD			3.79
C060402	ER_H2O_STRESS	BFA			9.49
C060402	ER_H2O_STRESS	BEN			0.71
C060402	ER_H2O_STRESS	BEL			56.48
C060402	ER_H2O_STRESS	BDI			3.09
C060402	ER_H2O_STRESS	AZE			53.13
C060402	ER_H2O_STRESS	AUT			7.62
C060402	ER_H2O_STRESS	AUS			5.26
C060402	ER_H2O_STRESS	ATG			8.46
C060402	ER_H2O_STRESS	ARM			59.34
C060402	ER_H2O_STRESS	ARG			6.64
C060402	ER_H2O_STRESS	ARE			2346.46
C060402	ER_H2O_STRESS	AND			0
C060402	ER_H2O_STRESS	ALB			6.47
C060402	ER_H2O_STRESS	AGO			0.68
C060402	ER_H2O_STRESS	AFG			43.67
